disease,drug
Alkylating Agent Cystitis,sodium bicarbonate
Alkylating Agent Cystitis,citric acid
Alkylating Agent Cystitis,sodium citrate
Abdominal Distension,bethanechol
Abdominal Distension,pamabrom
Abdominal Distension,bethanechol
Abdominal Distension,pamabrom
Abdominal Distension Prior to Abdominal X-ray,vasopressin
Abdominal Radiological Procedure,vasopressin
Abdominal Radiological Procedure,vasopressin
Abnormal Uterine Bleeding,medroxyprogesterone
Abnormal Uterine Bleeding,norethindrone
Abnormal Uterine Bleeding,megestrol
Abnormal Uterine Bleeding,levonorgestrel
Abnormal Uterine Bleeding,ethinyl estradiol
Abnormal Uterine Bleeding,levonorgestrel
Abnormal Uterine Bleeding,ethinyl estradiol
Abnormal Uterine Bleeding,norgestimate
Abnormal Uterine Bleeding,ethinyl estradiol
Abnormal Uterine Bleeding,norethindrone
Abnormal Uterine Bleeding,desogestrel
Abnormal Uterine Bleeding,ethinyl estradiol
Abortion,misoprostol
Abortion,mifepristone
Abortion,oxytocin
Abortion,carboprost
Abortion,dinoprostone
Ectopic Pregnancy,methotrexate
CNS Infection,cefotaxime
Seizures (Convulsions),levetiracetam
Seizures (Convulsions),phenobarbital
Seizures (Convulsions),phenytoin
Seizures (Convulsions),diazepam
Seizures (Convulsions),oxcarbazepine
Seizures (Convulsions),zonisamide
Seizures (Convulsions),topiramate
Seizures (Convulsions),valproic acid
Seizures (Convulsions),primidone
Angina,aspirin
Angina,nitroglycerin
Angina,metoprolol
Angina,amlodipine
Angina,isosorbide mononitrate
Angina,isosorbide dinitrate
Angina,enoxaparin
Angina,ranolazine
Angina,atenolol
Angina,carvedilol
Angina,amlodipine
Angina,atorvastatin
Fecal Incontinence,dextranomer
Fecal Incontinence,sodium hyaluronate
Acetaminophen Overdose,acetylcysteine
Acetaminophen Overdose,acetylcysteine
Tendonitis,meloxicam
Tendonitis,naproxen
Tendonitis,indomethacin
Tendonitis,trolamine salicylate
Tendonitis,sulindac
Tendonitis,meloxicam
Tendonitis,naproxen
Tendonitis,indomethacin
Tendonitis,trolamine salicylate
Tendonitis,sulindac
GERD,omeprazole
GERD,pantoprazole
GERD,ranitidine
GERD,famotidine
GERD,lansoprazole
GERD,esomeprazole
GERD,rabeprazole
GERD,sucralfate
GERD,dexlansoprazole
GERD,omeprazole
GERD,sodium bicarbonate
Acidosis,sodium bicarbonate
Acidosis,sodium bicarbonate
Acidosis,sodium bicarbonate
Muscle Pain,ibuprofen
Muscle Pain,naproxen
Muscle Pain,acetaminophen
Muscle Pain,diclofenac
Muscle Pain,nabumetone
Acne,doxycycline
Acne,spironolactone
Acne,minocycline
Acne,clindamycin
Acne,tretinoin
Acne,isotretinoin
Acne,benzoyl peroxide
Acne,adapalene
Acne,tetracycline
Acne,cephalexin
Acne,sulfamethoxazole
Acne,trimethoprim
Rosacea,doxycycline
Rosacea,metronidazole
Rosacea,minocycline
Rosacea,azelaic acid
Rosacea,sulfacetamide sodium
Rosacea,sulfur
Rosacea,isotretinoin
Rosacea,ivermectin
Rosacea,brimonidine
Acne,doxycycline
Acne,spironolactone
Acne,minocycline
Acne,clindamycin
Acne,tretinoin
Acne,isotretinoin
Acne,benzoyl peroxide
Acne,adapalene
Acne,tetracycline
Acne,cephalexin
Acne,sulfamethoxazole
Acne,trimethoprim
HIV Infection,lamivudine
HIV Infection,efavirenz
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
HIV Infection,lamivudine
HIV Infection,efavirenz
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Methemoglobinemia,methylene blue
Acromegaly,bromocriptine
Acromegaly,octreotide
Acromegaly,pegvisomant
Acromegaly,lanreotide
Acromegaly,pasireotide
Erythromelalgia,gabapentin
Actinic Keratosis,fluorouracil
Actinic Keratosis,aminolevulinic acid
Actinic Keratosis,ingenol
Actinomycosis,amoxicillin
Actinomycosis,doxycycline
Actinomycosis,minocycline
Actinomycosis,penicillin g sodium
Actinomycosis,penicillin g potassium
"Asthma, acute",albuterol
"Asthma, acute",prednisolone
"Asthma, acute",methylprednisolone
"Asthma, acute",epinephrine
"Asthma, acute",hydrocortisone
"Asthma, acute",theophylline
"Asthma, acute",dexamethasone
"Asthma, acute",levalbuterol
"Asthma, acute",terbutaline
Urinary Tract Infection,ciprofloxacin
Urinary Tract Infection,nitrofurantoin
Urinary Tract Infection,sulfamethoxazole
Urinary Tract Infection,trimethoprim
Urinary Tract Infection,amoxicillin
Urinary Tract Infection,doxycycline
Urinary Tract Infection,levofloxacin
Urinary Tract Infection,ceftriaxone
Urinary Tract Infection,amoxicillin
Urinary Tract Infection,clavulanate
Urinary Tract Infection,cefuroxime
Urinary Tract Infection,trimethoprim
Urinary Tract Infection,methenamine
Urinary Tract Infection,ampicillin
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Acute Coronary Syndrome,clopidogrel
Acute Coronary Syndrome,ticagrelor
Acute Coronary Syndrome,prasugrel
Acute Coronary Syndrome,enoxaparin
Acute Coronary Syndrome,eptifibatide
Acute Coronary Syndrome,tirofiban
"Acute Coronary Syndrome, Prophylaxis",clopidogrel
Glomerulonephritis,azathioprine
Glomerulonephritis,penicillin g benzathine
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal
Acute Myeloid Leukemia,daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
HIV Infection,lamivudine
HIV Infection,efavirenz
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Porphyria,chlorpromazine
Porphyria,hemin
Porphyria,givosiran
Acute Lymphoblastic Leukemia,methotrexate
Acute Lymphoblastic Leukemia,mercaptopurine
Acute Lymphoblastic Leukemia,dasatinib
Acute Lymphoblastic Leukemia,pegaspargase
Acute Lymphoblastic Leukemia,doxorubicin
Acute Lymphoblastic Leukemia,imatinib
Acute Lymphoblastic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphoblastic Leukemia,ponatinib
Acute Lymphoblastic Leukemia,vincristine liposome
Acute Lymphoblastic Leukemia,blinatumomab
Acute Lymphocytic Leukemia,prednisone
Acute Lymphocytic Leukemia,vincristine
Acute Lymphocytic Leukemia,cyclophosphamide
Acute Lymphocytic Leukemia,methotrexate
Acute Lymphocytic Leukemia,asparaginase escherichia coli
Acute Lymphocytic Leukemia,daunorubicin
Acute Lymphocytic Leukemia,asparaginase erwinia chrysanthemi
Acute Lymphocytic Leukemia,teniposide
Acute Myeloblastic Leukemia,doxorubicin
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal
Acute Myeloid Leukemia,daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Acute Myeloid Leukemia,cytarabine
Acute Myeloid Leukemia,vincristine
Acute Myeloid Leukemia,daunorubicin
Acute Myeloid Leukemia,idarubicin
Acute Myeloid Leukemia,decitabine
Acute Myeloid Leukemia,gemtuzumab
Acute Myeloid Leukemia,midostaurin
Acute Myeloid Leukemia,venetoclax
Acute Myeloid Leukemia,enasidenib
Acute Myeloid Leukemia,cytarabine liposomal
Acute Myeloid Leukemia,daunorubicin liposomal
Acute Myeloid Leukemia,ivosidenib
Acute Myeloid Leukemia,gilteritinib
Acute Myeloid Leukemia,glasdegib
Acute Nonlymphocytic Leukemia,isotretinoin
Acute Nonlymphocytic Leukemia,methotrexate
Acute Nonlymphocytic Leukemia,thioguanine
Acute Nonlymphocytic Leukemia,mitoxantrone
Acute Nonlymphocytic Leukemia,cyclophosphamide
Acute Nonlymphocytic Leukemia,daunorubicin
Acute Nonlymphocytic Leukemia,cytarabine
Acute Otitis Externa,ofloxacin
Acute Otitis Externa,ciprofloxacin
Acute Otitis Externa,ciprofloxacin
Acute Otitis Externa,hydrocortisone
Acute Otitis Externa,dexamethasone
Acute Otitis Externa,colistin sulfate
Acute Otitis Externa,hydrocortisone
Acute Otitis Externa,neomycin
Acute Otitis Externa,thonzonium bromide
Acute Promyelocytic Leukemia,tretinoin
Acute Promyelocytic Leukemia,arsenic trioxide
Respiratory Distress Syndrome,beractant
Respiratory Distress Syndrome,poractant
Respiratory Distress Syndrome,calfactant
HIV Infection,lamivudine
HIV Infection,efavirenz
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,ritonavir
HIV Infection,emtricitabine
HIV Infection,tenofovir
HIV Infection,tenofovir
HIV Infection,abacavir
Sinusitis,amoxicillin
Sinusitis,prednisone
Sinusitis,amoxicillin
Sinusitis,clavulanate
Sinusitis,cefdinir
Sinusitis,azithromycin
Sinusitis,levofloxacin
Sinusitis,cefuroxime
Sinusitis,clarithromycin
Sinusitis,ciprofloxacin
Sinusitis,clindamycin
Sinusitis,sulfamethoxazole
Sinusitis,trimethoprim
Sinusitis,moxifloxacin
Anxiety and Stress,sertraline
Anxiety and Stress,citalopram
Anxiety and Stress,fluoxetine
Anxiety and Stress,amitriptyline
Anxiety and Stress,venlafaxine
Anxiety and Stress,paroxetine
Anxiety and Stress,prazosin
Anxiety and Stress,fluvoxamine
Adenosine Deaminase Deficiency,pegademase bovine
Adenosine Deaminase Deficiency,elapegademase
Adams-Stokes Syndrome,epinephrine
Adams-Stokes Syndrome,ephedrine
Adams-Stokes Syndrome,isoproterenol
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Addison's Disease,hydrocortisone
Addison's Disease,fludrocortisone
Addison's Disease,dexamethasone
Renal Cell Carcinoma,pazopanib
Renal Cell Carcinoma,sunitinib
Renal Cell Carcinoma,axitinib
Renal Cell Carcinoma,nivolumab
Renal Cell Carcinoma,sorafenib
Renal Cell Carcinoma,everolimus
Renal Cell Carcinoma,bevacizumab
Renal Cell Carcinoma,cabozantinib
Renal Cell Carcinoma,medroxyprogesterone
Renal Cell Carcinoma,aldesleukin
Renal Cell Carcinoma,capecitabine
Renal Cell Carcinoma,temsirolimus
Renal Cell Carcinoma,lenvatinib
Adenosine Deaminase Deficiency,pegademase bovine
Adenosine Deaminase Deficiency,elapegademase
Adenovirus Prophylaxis,adenovirus vaccine
ADHD (Attention Deficit Hyperactivity Disorder),methylphenidate
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),dextroamphetamine
ADHD (Attention Deficit Hyperactivity Disorder),clonidine
ADHD (Attention Deficit Hyperactivity Disorder),bupropion
ADHD (Attention Deficit Hyperactivity Disorder),guanfacine
ADHD (Attention Deficit Hyperactivity Disorder),lisdexamfetamine
ADHD (Attention Deficit Hyperactivity Disorder),amphetamine
ADHD (Attention Deficit Hyperactivity Disorder),atomoxetine
Frozen Shoulder,diclofenac
Frozen Shoulder,ibuprofen
Frozen Shoulder,naproxen
Frozen Shoulder,nabumetone
Frozen Shoulder,piroxicam
Frozen Shoulder,indomethacin
Frozen Shoulder,triamcinolone
Dercum's Disease,fentanyl
Dercum's Disease,pregabalin
Adjunct to Antibiotic Therapy,probenecid
Polycystic Kidney Disease,enalapril
Polycystic Kidney Disease,lisinopril
Polycystic Kidney Disease,captopril
Adrenal Cortical Carcinoma,mitotane
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
Adrenal Insufficiency,dexamethasone
Adrenal Insufficiency,cortisone
